Views | Frequency |      Cumulative frequency
22  | 4 |      4
46  | 2 |      6
47  | 1 |      7
51  | 3 |      10
71  | 1 |      11
77  | 1 |      12
79  | 2 |      14
80  | 1 |      15
91  | 1 |      16
97  | 1 |      17
99  | 1 |      18
103  | 1 |      19
119  | 2 |      21
146  | 1 |      22
147  | 1 |      23
154  | 1 |      24
162  | 2 |      26
168  | 1 |      27
193  | 1 |      28
198  | 1 |      29
225  | 1 |      30
250  | 1 |      31
251  | 1 |      32
255  | 1 |      33
269  | 1 |      34
288  | 1 |      35
317  | 1 |      36
354  | 1 |      37
355  | 1 |      38
359  | 1 |      39
361  | 1 |      40
362  | 1 |      41
382  | 1 |      42
384  | 1 |      43
414  | 1 |      44
429  | 1 |      45
447  | 1 |      46
450  | 1 |      47
498  | 1 |      48
503  | 1 |      49
529  | 1 |      50
535  | 1 |      51
548  | 1 |      52
553  | 1 |      53
566  | 1 |      54
569  | 1 |      55
571  | 1 |      56
587  | 1 |      57
589  | 1 |      58
607  | 2 |      60
612  | 2 |      62
613  | 1 |      63
615  | 1 |      64
636  | 1 |      65
642  | 1 |      66
657  | 1 |      67
660  | 1 |      68
676  | 1 |      69
685  | 1 |      70
687  | 1 |      71
688  | 1 |      72
694  | 1 |      73
702  | 1 |      74
707  | 1 |      75
736  | 1 |      76
738  | 1 |      77
763  | 1 |      78
768  | 1 |      79
775  | 1 |      80
777  | 1 |      81
782  | 1 |      82
784  | 1 |      83
813  | 1 |      84
817  | 1 |      85
820  | 1 |      86
821  | 1 |      87
824  | 1 |      88
832  | 1 |      89
834  | 1 |      90
858  | 1 |      91
878  | 1 |      92
879  | 1 |      93
880  | 1 |      94
923  | 1 |      95
928  | 1 |      96
945  | 1 |      97
976  | 1 |      98
984  | 1 |      99
999  | 1 |      100
Mode: 22
Median: 566
Deviation: 89012.56
Average squared difference: 298.3497318584349
